source,target,bitwidth,n_iter,t_error_p2pl
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,10,2,6.339322371453417
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,10,5,3.8446125146249157
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,10,10,2.5453355302743277
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,10,20,2.5942919182014093
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,10,50,4.054714109770015
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,11,2,3.7767566376182815
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,11,5,2.307968713479734
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,11,10,1.690168107049541
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,11,20,1.888386842102005
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,11,50,2.920010511236485
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,12,2,18.374800451278603
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,12,5,5.185454486981172
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,12,10,2.9129678070935685
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,12,20,1.760934088648725
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,12,50,2.220635537827445
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,13,2,5.266050246829947
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,13,5,2.9012728395510883
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,13,10,1.7051253131101776
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,13,20,1.6414042347338051
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,13,50,1.7932706610647096
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,14,2,3.8833619549858147
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,14,5,2.150248302560146
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,14,10,1.8025037869382867
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,14,20,1.6325001170038174
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,14,50,1.696489377633833
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,15,2,4.172182260786822
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,15,5,2.0200480848526565
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,15,10,1.607793894608719
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,15,20,1.6249975717225595
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,15,50,1.6468366312684595
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,16,2,4.444228136038075
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,16,5,2.1185863270373617
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,16,10,1.5915965927917328
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,16,20,1.6232397283503115
source_2025-12-12_13.00.34/17,target_bolt-3_id-9988.pcd,16,50,1.6333707889364817
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,10,2,19.287092593153602
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,10,5,11.774545089139844
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,10,10,11.530048347047584
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,10,20,12.540652091151427
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,10,50,16.644337644956128
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,11,2,18.58153662569292
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,11,5,12.035071644505196
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,11,10,11.737976448011407
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,11,20,12.160003099506937
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,11,50,13.485935538398055
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,12,2,17.018778267583397
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,12,5,12.007232822401434
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,12,10,11.65988837349779
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,12,20,11.865223918607082
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,12,50,12.349958485516378
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,13,2,16.5487779590328
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,13,5,12.152847027017213
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,13,10,11.768130043199376
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,13,20,11.841306473746327
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,13,50,11.819491981719821
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,14,2,17.466871992406766
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,14,5,12.490925872497947
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,14,10,11.864902298021772
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,14,20,11.832473208372283
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,14,50,11.834109850457486
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,15,2,18.09775032060909
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,15,5,12.958538281140667
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,15,10,11.975935295790137
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,15,20,11.850356123514812
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,15,50,11.826383580615088
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,16,2,17.897830324054134
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,16,5,12.85331753151297
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,16,10,11.92000648734228
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,16,20,11.84795180793141
source_2025-12-12_13.00.34/17,target_bolt-12_id-10753.pcd,16,50,11.820746816185496
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,10,2,5.977076626328505
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,10,5,3.9748714942134815
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,10,10,4.1208037344514885
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,10,20,4.258432277240459
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,10,50,4.3248026439569225
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,11,2,6.040150459770163
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,11,5,3.9773053090819777
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,11,10,3.7867051937224696
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,11,20,3.7280799866202203
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,11,50,3.6862816048963283
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,12,2,5.396787586605611
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,12,5,4.060398223540781
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,12,10,3.727695186367705
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,12,20,3.647397252785381
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,12,50,3.634479369018043
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,13,2,4.818917432669096
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,13,5,3.7735946020558324
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,13,10,3.7255195339073426
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,13,20,3.6910768756847485
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,13,50,3.690334615611639
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,14,2,5.2127038067290385
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,14,5,3.826538974242704
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,14,10,3.7499855072272714
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,14,20,3.7564963583496995
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,14,50,3.7680505566301523
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,15,2,5.099929366701695
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,15,5,3.8007146878254576
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,15,10,3.767282837466102
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,15,20,3.825126663253631
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,15,50,3.8251418946134836
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,16,2,5.229562677409648
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,16,5,3.797042993579552
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,16,10,3.7710089537505427
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,16,20,3.8306918771951652
source_2025-12-12_13.00.34/17,target_bolt-3_id-9990.pcd,16,50,3.843521565774747
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,10,2,11.021571899350523
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,10,5,8.710134302751785
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,10,10,9.011259776116196
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,10,20,9.004288928750837
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,10,50,9.069021711096285
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,11,2,11.21099559387934
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,11,5,9.127020884506704
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,11,10,9.113775931089782
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,11,20,8.978905093620511
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,11,50,8.580854933649574
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,12,2,10.383856648252035
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,12,5,8.066342377039668
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,12,10,8.57111243681942
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,12,20,8.741108581998711
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,12,50,8.604891984915263
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,13,2,10.902301023099163
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,13,5,8.208127883974358
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,13,10,8.640445985568576
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,13,20,8.693838272169433
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,13,50,8.61170079749373
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,2,11.288729966433937
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,5,9.08206591871562
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,10,8.823226288911199
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,20,8.712127550407075
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,50,8.651114706370453
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,2,11.246360810550302
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,5,8.713914978331017
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,10,8.709776792905759
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,20,8.689631214943612
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,50,8.648526703814252
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,2,11.004806339708422
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,5,8.432634972697976
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,10,8.641030726004384
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,20,8.669651522938564
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,50,8.654818498217903
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,2,12.459180493561712
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,5,9.22159861253163
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,10,9.087686973570417
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,20,10.256639098475635
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,50,11.133531437005614
